Italian,English,Success,Total
"buio, tenebroso",dark,1,1
miércoles,Wednesday,1,1
"intesta, adelante",ahead,0,1
apostar,to bet,0,6
cumplir ,"to fulfil, carry out ",1,5
hundir,to sink,0,5
"así, tan",so,2,13
"aún, todavia","yet, still",1,10
aunque,although,0,10
asentir,to nod,1,3
mencionar,to mention,0,3
primera vez,first time,1,3
semana,week,2,3
atrás,behind,0,3
pertenecerse,to belong,0,8
falta,a lack,1,8
mientras,while,2,2
trabajar,to work,2,2
soltar,to release,0,7
estremecer,"to shake, to tremble",0,7
cualquier,any,0,7
adquirir,to acquire,1,6
disfrute,enjoyment,2,6
escondido,hidden,1,1
pasaje,passage,0,1
tamborilear,to drum,1,1
sin embargo,however,1,1
domingo,Sunday,1,1
vergüenza,shame,0,1
consejos,advice,1,1
demasiado,too,2,9
retorcido,twisted,1,4
interés,interest,1,4
"llegar, alcanzar",to reach,1,8
desaparecer,to disappear,1,4
advertir,to warn,2,4
tampoco,neither,3,11
siquiera,at least,3,14
coger,to catch,1,3
encerrar,"to enclose, to trap",2,10
suyo,his/hers,1,3
levantar,to lift,1,3
limitado,"limited, restricted",0,3
volador,flying,1,3
existir,to exist,2,3
"sido, estado",been,1,3
menos mal,Thank God!,3,3
atrever,to dare,3,13
encima,above,3,9
"paracer, aparecer","to seem, to appear",3,9
"echar, lanzar, arrojar",to throw,3,12
gotear,to drip,4,12
descubrir ,to discover ,3,8
cómodo,comfortable,0,2
apenas,just,0,2
destellar,"to sparkle, to flash",1,2
tomate,tomatoe,1,2
trasladar,to move,1,2
agarrar,to grab,0,5
encuentro,"match, encounter",3,8
realizar ,"to achieve, attain, accomplish ",3,8
asustar,to scare,2,8
cantidad,quantity,1,5
silla,seat,3,5
enfurecidos,angry,3,5
afortunadamente,fortunately,0,2
asombrosas,amazing,0,2
esconder,to hide,1,2
fondo,"back, depth, background",1,2
patadas,kicks,0,2
comida,food,2,2
sorprender,to surprise,2,2
contar,"to count, to tell",2,2
algún,some,1,5
producir,to produce,3,5
hace meses que,months ago,1,2
enseñar,to teach,2,2
presentar,to present,2,2
mesa,table,2,2
olvidar,to forget,2,2
quedar,to remain,2,7
dirigir ,to direct ,4,7
culpa,guilt,2,4
amenaza,threat,4,12
boquiabierto,agape,2,4
repentino,sudden,2,9
"empezar, comenzar",to begin,3,9
asi pues,so that,2,9
delante de,in front of,2,6
miembro,member,3,6
permitir ,"to permit, allow ",1,1
abajo,down,1,1
sábado,Saturday,1,1
caliente,hot,1,1
callejón,alley,0,1
bosque,forest,0,0
derrotar,defeat,3,10
incómodo,uncomfortable,0,0
mantequilla,butter,0,0
"aguantar, soportar",to endure,0,0
lunes,Monday,0,0
viernes,Friday,0,0
maravilloso,marvelous,0,0
avergonzado,ashamed,0,0
gastar,"worn out, spend",0,0
sobresaliente,outstanding,0,0
dar cuenta,to realize,2,7
loco,crazy,2,2
habilidades,abilities,1,2
mismo,same,2,2
tocar ,"to touch, to play (an instrument) ",2,2
"atar, adjuntar",to attach,0,2
segundo,second,1,2
parar,to stop,1,2
recoger,to collect,0,2
tratar,"to treat, to handle",1,2
saber,to know,2,2
partir ,to leave,2,2
reconocer ,to recognize ,1,2
utilizar ,"to use, utilize ",2,2
feo,ugly,2,2
pasar,"to pass, to happen",2,2
poder,to be able to,2,2
empujar,to push,2,4
aterrizar,to land,3,4
"ocurrir, suceder","to happen, to occur",2,4
someter,to submit,1,4
retirar,to remove,0,4
a veces,sometimes,2,4
proteger,to protect,2,4
susurrar,to whisper,2,4
"parecido, similar",similar,2,4
