"Espanol","Italiano","English","Success","Total"
"deslizar","scivolare","to slide",0,3
"ira","rabbia","anger",0,1
"abajo","giù","down",1,1
"gafas","occhiali","glasses",0,1
"de golpe","improvvisamente","suddenly",0,1
"gotear","sgocciolare","to drip",0,9
"ocurrir, suceder","avvenire, succedere","to happen, to occur",2,4
"proteger","proteggere","to protect",2,4
"estar al tanto","essere a conoscenza","to be aware",0,3
"agarrar","afferare","to grab",0,3
"siguiente","prossimo","next",0,3
"retirar","rimuovere","to remove",0,3
"soltar","rilasciare","to release",0,3
"aterrizar","atterrare","to land",1,3
"sido, estado","stato","been",1,2
"pues","poi","then",1,2
"descargar","caricare","to download",1,2
"volador","volante","flying",0,2
"hace meses que","mesi fa","months ago",1,2
"antes de","prima di","before",2,2
"empezar, comenzar","iniziare, cominciare","to begin",2,7
"paracer, aparecer","apparire","to seem, to appear",1,6
"suponer ","supporre","to suppose ",1,6
"aunque","sebbene","although",0,6
"ventana","finestra","window",1,1
"listo","pronto","ready",0,1
"esconder","nascondere","to hide",0,1
"ojos","occhi","eyes",1,1
"ley","legge","law",0,1
"segundo","secondo","second",1,1
"atrever","osare","to dare",1,10
"pertenecerse","appartenere","to belong",0,5
"ya","già","already",1,5
"algún","alcuni","some",1,5
"regresar","ritornare","to return",2,5
"derrotar","sconfiggere","defeat",1,9
"así","così","so",0,9
"estremecer","tremare","to shake, to tremble",0,4
"dar cuenta","realizarre","to realize",3,8
"delante de","davanti","in front of",0,4
"aún","ancora","yet",1,8
"encuentro","partita","match, encounter",0,4
"susurrar","sussurrare","to whisper",2,4
"chillar","urlare","to shriek",2,4
"levantar ","sollevare","to raise, to lift ",3,4
"encima","sopra","above",2,7
"caer ","cadere","to fall ",2,3
"ese","quello","that",2,3
"encontrar","trovare","to find",2,3
"volver","tornare","to return",2,3
"escoba","scopa","broom",1,2
"sombra","ombra","shadow",2,2
"demasiado","troppo","too",1,5
"llegar, alcanzare","raggiungere","to reach",1,5
"temblor","tremore","tremor",3,5
"dirigir ","dirigere","to direct ",2,5
"patadas","calci","kicks",0,1
"echar, lanzar","gettare","to throw",1,7
"nunca","mai","never",2,4
"repentino","improvviso","sudden",0,4
"a veces","a volta","sometimes",2,4
"realizar ","realizarre","to achieve, attain, accomplish ",1,4
"añadir","aggiungere","to add (as in conversation)",0,1
"asi pues","affinche","so that",2,7
"hasta","fino a","until",0,1
"terminar","terminare","to finish, to end",0,1
"más","più","more",1,1
"gato","gatto","cat",1,1
"cada","ogni","any, some",1,1
"silla","sedia","seat",2,4
"hacer","fare","to do, to make",1,1
"llorar","piangere","to cry",2,4
"opinar","opinare","to think, to be of the opinion",1,1
"lugar","luogo","a place",1,1
"mientras","mentre","while",1,1
"jugar ","giocare","to play (a game or sport) ",1,1
"por qué","perche","why",1,1
"encerrar","rinchiudere","to enclose, to trap",0,6
"espalda","schiena","back",1,6
"doloroso","doloroso","painful",2,3
"quedar","restare","to remain",0,3
"falta","mancanza","a lack",0,3
"amenaza","minaccia","threat",4,11
"miembro","membro","member",1,3
"intentar","tentare","to attempt",1,5
"verdad","verità","truth",0,0
"mañana","mattina","morning",0,0
"largo","lungo","long",0,0
"loco","pazzo","crazy",0,0
"coger","catturare","to catch",0,0
"permitir ","permettere","to permit, allow ",0,0
"delgado","sottile","thin",0,0
"llaves","chiavi","keys",0,0
"pasaje","passaggio","passage",0,0
"retorcido","ritorto","twisted",0,0
"primero","primo","first",0,0
"tercero","terzo","third",0,0
"limpio","pulito","clean",0,0
"asustar","spaventare","to scare",2,7
"cruzar","attraversare","to cross",3,7
"ganar ","vincere","to win",1,2
"menos mal","meno male","Thank God!",2,2
"reír","ridere","to laugh",2,2
"siquiera","almeno","at least",2,9
"primera vez","prima volta","first time",1,2
"someter","sottomettersi","to submit",0,2
"reconocer ","riconoscere","to recognize ",1,2
"gustar ","piacere","to please, be pleasing ",2,2
"tampoco","né","neither",3,9
"culpa","colpa","guilt",1,2
"decir","dire","to say",1,2
"producir","rendere","to produce",0,2
"cumplir ","completare","to fulfil, carry out ",0,2
"disfrute","godimento","enjoyment",0,2
"advertir","avvertire","to warn",1,2
"preguntar","chiedere, domandare","to ask",1,2
"recordarse","ricordarsi","to remember",2,2
"poner","mettere","to put, to place",2,2
"entre","fra, tra","between",2,4
"cualquier","qualsiasi","any",0,4
"señalar","segnalare","to signal",1,4
"introducir","introdurre","to introduce ",2,4
"descubrir ","scoprire","to discover ",1,4
"extraño","strano","strange",3,4
"servir ","servire","to serve ",2,4
